id,MR,Rsq,E1,Px1,Py1,Pz1,E2,Px2,Py2,Pz2,HT,MET,nBJets
11043,189.594,0.0465563,357.716,47.5597,89.2729,-342.816,470.474,-62.2784,-54.9723,-462.921,184.221,15.1273,0
5624,219.116,0.0398782,390.041,69.4612,88.8446,373.258,180.687,-63.1596,-70.9641,152.532,207.775,17.4401,0
4989,313.185,0.0394411,284.393,167.402,-24.7914,-226.692,201.389,-139.804,25.2382,-141.994,311.292,22.8665,0
5931,,0.0008651,326.998,-72.9332,209.559,-211.9,826.847,72.6647,-193.141,-800.407,438.589,1.08632,0
2810,234.556,0.0484988,182.15,-72.8179,89.2362,-140.191,274.202,92.1674,-63.1348,-250.038,226.894,20.6582,0
848,,0.0197821,150.887,-117.519,11.232,-93.5384,184.301,99.7918,4.80083,-154.125,217.962,9.11611,0
12864,282.112,0.0132435,136.213,28.0246,-119.589,55.335,321.184,8.76821,106.967,302.34,230.155,9.54322,0
3988,313.838,0.0168244,405.382,-19.6206,-157.721,-370.109,251.44,44.0279,136.172,-173.52,325.391,10.239,0
542,,0.0219441,335.693,-7.47734,-108.575,-317.334,460.382,-4.91811,89.2159,-451.394,198.184,8.35269,0
2373,194.882,0.147638,125.74,86.0445,-80.3508,-39.8798,72.263,68.9441,2.71482,19.3541,186.726,31.8317,0
2356,1311.56,0.00227172,,-59.6691,205.562,-757.227,547.841,33.0232,-182.003,514.672,424.734,18.8409,0
9703,236.592,0.026648,258.817,-67.0522,105.515,-226.151,164.131,38.9361,-100.265,-123.542,232.577,14.6095,0
3700,1347.25,0.000517623,1258.05,53.5215,59.1902,-1207.5,376.591,-49.0478,-54.4157,369.356,349.527,12.6541,0
11144,277.642,0.0291699,203.715,96.5803,-76.5097,158.751,524.226,-89.2407,74.534,511.014,239.485,18.255,0
5170,318.17,0.00624527,179.839,-71.1038,137.961,-26.0041,189.067,74.2656,-134.013,-110.192,324.396,4.05467,0
7353,,0.00534969,1478.92,-149.932,12.9428,1464.34,166.979,141.536,-11.4964,45.7354,344.291,12.4337,0
4502,223.709,0.0140229,184.983,39.108,103.388,147.606,101.521,-20.1909,-93.9061,28.1703,206.589,7.3313,0
8627,252.837,0.0333065,,122.422,19.1331,-85.6555,252.197,-107.642,-12.0635,-226.556,235.831,17.6796,0
322,,0.0441881,294.073,113.329,-120.181,-234.429,136.611,-85.9626,87.3192,58.0327,288.803,39.3854,0
5149,,0.00200851,148.861,-106.617,-13.414,-102.213,267.673,103.723,-11.5384,246.042,211.82,3.20694,0
2567,336.493,0.0221717,152.435,5.92097,136.639,61.5262,208.688,-13.5422,-97.5693,-182.909,235.272,18.6055,0
10992,,0.0145545,144.393,129.905,-26.6475,-2.90719,133.662,-129.584,20.3009,-0.145754,268.834,7.50927,0
12467,219.57,0.0378623,,-44.1383,-106.33,-192.2,259.992,57.0561,86.0818,-218.06,247.87,15.0873,0
4154,,0.013434,148.929,-56.7562,-114.592,74.3502,258.372,62.3952,108.504,225.431,253.042,8.13813,0
9407,227.878,0.0351858,334.628,106.35,73.867,307.199,317.077,-71.6626,-64.6822,301.788,226.023,13.9695,0
4363,,0.00213991,211.548,-68.561,-16.6045,199.148,192.304,42.8858,-55.0413,-178.665,140.319,6.68727,0
12530,236.702,0.0475216,283.555,113.432,29.7608,257.773,184.933,-99.4204,35.327,97.1942,230.003,19.3064,0
5093,599.365,0.00698364,489.784,-120.444,15.4619,472.172,191.325,108.368,1.56625,-156.121,233.618,20.0172,0
4874,,0.0183337,256.568,4.5592,77.4695,-244.268,175.047,8.21153,-64.9499,-16.8718,218.48,9.36433,0
7187,430.618,0.0175459,283.658,40.6534,-194.268,-201.801,179.597,-55.294,164.038,38.7759,371.582,16.2345,0
5948,,0.0478752,349.29,-2.14734,86.7872,-338.04,138.885,40.8644,-70.6928,-111.416,168.468,17.094,0
2524,,0.0435754,93.3747,71.8903,-44.3309,-38.7498,70.4325,-56.0612,25.7716,28.0362,146.161,13.201,0
5475,506.557,0.000781207,495.691,125.332,-90.5712,470.772,157.335,-103.819,86.9045,-68.1323,290.024,1.49484,0
1193,201.343,0.0263446,117.271,61.8978,87.1277,-45.1008,86.0079,-36.0951,-61.9632,46.2734,178.586,14.861,0
1479,317.829,0.0112646,165.89,121.981,26.9093,-108.179,210.937,-102.32,-28.5134,109.546,262.225,9.75526,0
5641,259.393,0.00795213,132.218,60.6829,98.9692,-61.4487,347.624,-36.4927,-55.7169,-341.036,182.696,7.80382,0
2576,178.122,0.0225979,543.375,-93.4375,-13.5412,-535.091,152.172,65.4648,5.26817,-136.867,160.09,8.06284,0
5482,237.906,0.0245,687.013,-99.4118,-49.1409,677.929,255.336,90.9381,47.3958,233.463,213.442,13.5075,0
12568,202.031,0.0294845,103.675,-73.2426,33.04,63.7354,100.033,78.0819,12.1758,-60.4567,159.376,14.5725,0
10623,764.703,0.00428813,552.893,-55.5095,-137.766,-529.626,263.773,47.4819,61.8212,251.769,234.963,16.9092,1
3678,323.016,0.00530592,314.604,15.72,70.0059,-266.018,100.259,-21.4736,-61.4747,75.3332,217.455,8.68104,0
7636,164.195,0.0256864,699.227,-75.2312,49.3916,-693.35,583.874,65.5437,-34.7705,-579.035,164.191,8.02993,0
11518,,0.0696259,117.783,36.3141,-94.863,-58.8164,80.3551,-11.1993,71.671,30.1802,174.117,25.2493,0
5809,,0.0122432,134.942,49.2223,-120.29,25.8561,139.002,-21.1711,59.0052,123.392,192.66,9.31074,1
1889,289.584,0.031742,147.773,-135.063,57.9046,6.52987,156.404,87.3992,-99.6562,81.3627,279.504,19.6647,0
1649,,0.0055612,228.353,-55.4863,173.99,-47.5439,234.547,21.6016,-80.9322,-217.931,282.817,6.31792,0
316,251.791,0.0697107,323.281,131.298,-25.5536,-293.646,118.494,-95.6313,9.6114,-66.9683,229.875,32.9877,0
9430,284.057,0.0192194,596.027,-75.2442,-105.257,559.894,208.866,97.271,71.4184,169.192,276.899,12.0388,0
4782,296.597,0.0175162,116.213,92.3979,50.1479,47.4541,512.453,-64.4338,-50.7977,505.676,187.179,15.1646,0
7355,314.487,0.00718245,114.74,-109.456,15.5147,27.6454,461.689,73.0808,-36.6565,453.783,192.309,6.0621,0
10568,196.911,0.0580562,197.319,10.9553,-91.6954,-97.2343,301.312,-40.7846,66.287,-290.848,210.468,24.3797,0
10418,239.294,0.0384774,114.102,103.359,28.779,36.696,228.16,-94.2316,-27.2289,202.216,211.875,20.5304,0
11173,312.141,0.0133616,176.758,-55.9385,114.21,111.891,146.64,66.0858,-108.418,-70.9099,257.765,10.4512,0
1416,220.881,0.0379888,195.149,-77.4691,-72.302,157.618,119.552,87.5607,55.6156,58.4664,215.416,16.3519,0
12195,203.465,0.0238859,131.733,-13.3789,111.622,-66.5279,89.5258,-2.96228,-86.9944,-13.8704,199.466,8.90084,0
7283,293.707,0.0252803,117.933,-101.866,-52.008,26.0775,237.868,47.8101,58.2054,-225.382,189.698,17.9088,1
472,203.173,0.0560492,644.803,-69.8893,83.6707,-635.393,358.989,59.1533,-67.9309,-346.65,199.096,21.2705,0
3139,430.967,0.0101151,205.602,142.193,-141.231,-31.5619,247.954,-153.691,108.524,159.553,388.556,8.89127,0
12526,375.287,0.011864,275.357,88.0208,65.5962,-184.628,195.619,-72.1864,-78.8583,125.778,317.388,14.5164,0
11334,,0.00964013,214.642,142.495,72.8457,-139.33,165.036,-151.194,-44.2585,-43.8208,317.574,6.0644,0
12907,,0.0224817,97.0478,59.0135,-69.0597,-32.0513,87.8064,-34.2923,77.7453,-7.45343,175.812,7.58243,0
9688,,0.0932903,204.282,-101.986,-17.2594,-175.509,114.05,70.258,29.0449,-26.4671,211.965,35.483,0
7200,,0.0473856,203.046,102.837,172.019,27.8249,121.052,-57.988,-103.678,-17.9032,319.207,24.9058,0
3903,167.412,0.0292646,687.279,50.4592,-87.6088,679.649,543.79,-53.2127,38.194,539.775,166.602,7.66839,0
8872,325.893,0.00387705,100.825,-81.772,56.9555,-4.29826,425.377,67.8647,-57.4128,415.689,188.545,4.22239,0
4297,329.973,0.0530549,279.06,-27.2353,-127.041,-245.696,112.254,19.5497,98.7999,42.794,230.643,44.4785,0
2636,,0.0152618,88.7957,78.9656,30.9514,22.197,385.842,-63.3397,-24.6356,-379.586,152.777,17.6535,0
11755,,0.0116598,,-76.995,-25.736,-548.491,183.105,65.892,5.08143,-13.8256,245.104,9.66044,0
292,,0.0128354,,-119.162,-2.88199,-41.5543,167.688,118.534,7.99943,-117.29,238,6.45077,0
12322,264.854,0.00873429,,128.626,-43.1586,-176.167,282.495,-121.237,28.3381,-252.611,260.178,4.90197,0
4039,353.779,0.0125001,244.887,89.6226,153.52,167.537,235.953,-94.6272,-148.032,145.595,360.624,8.99202,0
8509,,0.011695,109.347,107.905,-8.65689,-1.96641,143.134,-96.2996,6.21763,105.518,204.752,6.23377,0
6820,346.144,0.0112122,353.656,32.7022,115.674,331.922,112.762,-74.8129,-78.9128,-22.7539,228.947,13.6829,0
10453,376.564,0.0371603,209.8,59.2304,196.57,40.7337,169.678,-63.3659,-154.807,-16.2231,372.574,25.5355,0
2368,246.276,0.138753,314.683,-74.3272,136.718,-263.908,151.596,30.5356,-84.301,-121.473,245.87,54.0104,0
5106,357.363,0.0082639,,-131.949,-61.4624,65.5812,234.125,114.481,89.6652,-147.196,291.047,7.74308,0
2281,,0.00645132,147.303,-98.8603,-102.229,33.8654,148.489,78.7096,99.6831,75.1481,269.223,3.46831,2
3647,287.776,0.0243122,328.232,-17.8583,-162.976,-278.643,271.212,3.12337,123.261,-240.861,291.637,16.4379,0
8043,299.583,0.025987,224.665,-23.5213,-68.8884,-212.184,176.343,51.2038,31.1184,82.6332,208.07,26.9349,0
3834,247.336,0.00715556,195.797,9.86132,101.786,166.319,96.9318,-13.7293,-93.3404,-13.7847,196.607,4.62603,0
5668,370.102,0.00927961,249.543,-166.548,9.78607,184.738,142.351,121.293,16.4845,-66.8874,289.243,7.62646,0
9327,,0.01298,,128.559,-46.0159,-93.1239,163.352,-101.663,91.0603,83.1733,273.028,12.3485,0
8534,,0.0494132,511.71,471.036,158.528,119.082,566.007,-356.278,-148.591,310.88,939.42,83.3133,0
3981,488.444,0.00601986,,-56.2611,-41.6047,-184.214,330.223,51.7385,-35.5128,297.909,185.829,14.501,0
6112,185.843,0.0267796,94.1755,55.2338,-63.1554,-42.0768,205.159,-63.0176,35.0666,-191.493,156.018,11.7773,0
3722,270.709,0.0100835,,-91.3192,10.3579,501.924,97.1862,83.7072,-22.6385,39.9748,178.619,7.65496,0
2327,229.731,0.0132195,107.263,-105.074,-10.7069,-1.17966,161.243,85.5322,4.22233,136.087,191.254,6.99428,0
4606,241.249,0.00505326,134.873,-43.2363,-101.152,-75.1601,112.036,39.8874,84.9464,55.1456,203.85,2.67003,0
11538,209.644,0.0324915,219.884,90.2451,53.0348,90.0625,114.346,-94.2024,-38.6769,45.2598,218.053,13.1908,0
5031,315.842,0.0259358,136.005,125.68,-40.3787,-28.2737,220.063,-97.851,51.1691,190.201,242.43,19.3287,0
9955,184.256,0.0601309,102.601,70.4745,70.6266,12.0068,90.8009,-50.3444,-42.9266,-61.4144,165.934,21.6344,0
3627,753.862,0.00250743,449.898,165.826,-35.2009,-416.22,315.293,-122.272,22.0512,289.487,293.765,8.42816,0
10896,213.066,0.0639619,113.268,-95.5568,-55.7292,18.843,103.27,63.145,65.5245,-47.8664,201.619,26.7762,1
2198,275.633,0.0217137,127.332,108.926,-37.8937,-49.4713,341.173,-90.4512,38.5742,-324.559,218.729,15.0144,0
1012,293.074,0.0189872,,-125.669,76.5148,227.238,185.691,114.823,-79.0208,122.29,286.516,10.9778,0
3727,564.697,0.00716218,443.208,181.791,76.596,71.9883,873.771,-176.942,-67.7483,852.629,534.492,11.6807,0
10722,496.744,0.0112222,218.391,-173.468,74.4848,77.1603,694.844,154.411,-92.2834,666.612,380.393,14.031,0
12059,,0.000659296,366.368,0.408356,98.462,-340.094,434.368,-8.52237,-88.6406,425.079,207.808,4.55943,0
574,,0.0189863,181.98,-118.262,29.3498,91.5167,212.258,4.35518,-82.3327,-146.112,270.321,15.3492,0
9674,279.447,0.0300568,278.326,-93.2982,108.434,-237.869,203.609,78.6985,-107.527,-152.51,276.298,16.3213,0
3787,165.726,0.00883167,130.027,85.6839,10.6161,95.6534,89.0852,-43.6731,62.2463,43.9086,162.378,6.0518,0
8303,278.867,0.0249312,,96.855,-76.2342,547.858,207.713,-79.3029,90.782,168.555,243.8,14.9541,0
1084,234.214,0.0659296,273.24,-6.52177,124.737,-242.5,436.595,-2.92037,-90.5905,-426.81,215.545,29.1366,0
12439,207.442,0.0353167,384.481,-96.7736,-83.0978,361.674,434.593,36.3929,53.9797,429.643,192.657,11.7348,0
174,165.4,0.0292037,674.985,77.7358,-35.6844,-669.506,469.017,-63.0513,46.3849,-462.25,163.81,10.6525,0
6871,357.433,0.0164371,120.492,81.8193,86.8878,8.13465,412.016,-60.906,-68.7468,-401.526,211.194,17.6178,0
12312,294.488,0.0312231,267.78,-108.234,122.299,98.7399,166.827,94.7558,-89.4903,102.964,365.461,16.4628,0
1289,342.189,0.0105618,959.085,53.3203,113.588,931.424,86.3449,-70.1527,-32.3982,33.9748,282.696,18.6289,0
3273,400.581,0.00963922,170.164,45.7839,135.82,87.8356,256.47,-20.0465,-117.374,-226.334,262.403,13.2621,0
11409,,0.0414271,378.436,84.9036,5.40177,-368.399,186.295,-81.7894,2.60783,-166.388,166.906,16.4317,0
4944,,0.00238617,297.677,-50.7694,108.301,270.949,355.09,64.0746,-70.5501,-340.869,214.914,11.3997,0
10122,259.578,0.0197804,122.981,-62.9908,99.1768,-32.5976,160.334,5.2168,-74.1271,140.985,191.8,12.157,0
4453,319.724,0.0361139,254.194,-86.1541,107.902,-211.607,112.67,47.3786,-93.0318,38.0534,242.479,27.3791,0
1768,227.011,0.0188269,100.033,11.8244,88.561,-38.8755,306.156,-62.8752,-53.7798,-294.414,172.085,16.0215,0
8288,,0.0184398,453.27,91.7981,59.5123,-439.667,158.816,-93.5501,-47.3432,-118.479,214.249,10.6541,0
6931,321.983,0.00143485,275.652,-129.677,-121.265,-172.349,152.032,81.5534,109.755,-58.3762,335.104,0.831509,0
12041,269.653,0.063091,,-78.522,-113.684,881.402,387.532,58.0151,101.161,369.293,254.782,32.9857,0
12799,495.91,0.0120948,184.33,114.902,37.1665,-138.36,351.105,-73.5456,-63.967,336.577,218.235,22.8121,1
12146,282.519,0.0191854,104.416,31.6881,-96.1739,-21.1968,283.539,-31.904,67.9808,247.152,228.181,15.2043,0
9937,200.194,0.0660342,113.687,-67.3125,-89.5233,15.8345,90.9378,40.7448,77.405,-2.58024,199.48,23.2077,0
1507,480.806,0.00356187,217.114,-38.3851,-22.001,-212.365,385.235,32.1937,-24.8424,263.469,318.635,16.6757,0
10659,243.851,0.00797417,109.377,68.8832,-80.8231,-21.8607,211.609,-55.2617,86.2758,-184.45,208.651,4.69575,0
1110,223.65,0.0346199,420.276,-92.608,-19.8064,409.2,112.06,79.8488,26.4343,72.3921,178.813,18.356,0
9531,286.427,0.00388061,108.74,75.5866,-75.5004,-14.3094,253.746,-74.8749,60.5053,234.508,203.101,2.95797,0
830,254.315,0.00559014,194.462,-32.2152,-77.0637,-6.86204,337.146,37.4264,65.8886,-328.222,208.404,4.91595,0
989,,0.00963476,155.054,-0.679663,122.181,60.8802,121.915,5.85295,-117.32,7.22529,244.277,4.96774,0
1338,284.629,0.037204,155.465,-103.667,113.921,-14.6441,142.914,75.7973,-101,32.8791,280.315,19.459,0
5176,420.945,0.00548991,120.747,32.1832,106.288,-43.633,478.307,-61.2625,-78.5804,467.715,210.693,9.20392,0
12408,194.837,0.00702689,99.2773,93.2535,14.4916,-27.4614,137.296,-87.0473,-18.2221,-103.56,183.307,2.80493,0
2098,257.59,0.0272275,143.086,-105.108,-73.4159,60.0987,192.087,94.1803,73.5184,143.586,254.401,14.107,0
6401,311.835,0.0266752,160.897,-101.049,-4.49098,124.217,152.061,71.5376,0.208449,-133.88,172.687,25.6212,0
2565,647.136,0.00346679,249.181,-10.8167,-80.0204,-235.467,451.372,-29.6609,68.7431,416.328,249.745,15.7212,0
2541,226.873,0.0708877,,-6.32404,139.07,767.609,263.766,5.73386,-79.7517,250.566,219.171,26.2138,0
2267,234.382,0.0723227,169.708,105.056,76.3033,108.359,87.2652,-71.2025,-47.6587,-7.57568,215.522,30.5774,0
3484,,0.0410223,171.933,42.1141,163.169,22.2972,156.989,-36.1932,-130.625,-77.9649,304.064,25.1656,0
1662,282.668,0.0235579,187.853,81.0517,-66.1823,-155.236,113.762,-81.8971,53.5606,55.546,202.496,19.0421,0
10921,665.576,0.00862601,286.591,-116.14,94.3105,243.767,435.516,100.878,-49.9477,-376.104,342.765,24.955,0
8205,,0.0187819,400.699,104.516,-43.07,384.13,581.105,-100.938,45.597,556.513,226.511,8.68821,0
7666,614.859,0.00426746,,-51.8059,110.258,411.608,221.94,54.2027,-81.9973,-198.485,220.116,13.3726,0
12359,,0.0059869,261.958,-108.043,-21.2255,-217.502,196.262,105.44,23.165,163.46,218.065,10.404,0
4789,237.425,0.0193096,142.468,-108.313,-5.06591,-80.4567,293.327,99.2705,4.14366,-275.354,212.715,10.0934,0
10414,242.481,0.0406639,200.485,51.1022,-105.263,-115.313,342.12,-23.0826,90.1595,-328.764,236.264,19.9165,0
2883,263.468,0.00434691,604.469,-89.9959,75.3863,592.848,158.516,77.7075,-62.3929,122.208,217.054,2.67841,0
2625,180.966,0.0226218,289.059,-15.8095,88.1511,254.055,370.382,24.8327,-85.2718,359.501,222.024,7.88785,0
2470,690.692,0.0063964,353.425,-18.6702,-68.8596,-238.41,481.971,65.9557,16.3027,477.104,325.874,29.196,0
3058,270.977,0.00680572,140.716,34.2719,-128.75,-33.3866,175.196,-35.893,120.831,-119.945,259.282,3.76791,1
12451,187.908,0.00532984,154.907,19.9214,47.8676,-145.513,203.104,-0.745047,-47.9989,38.7076,226.82,4.5027,0
6662,288.514,0.0346038,117.26,94.4141,-62.5739,24.0981,229.807,-62.3451,56.3299,-213.202,197.291,25.8098,0
10500,872.504,0.000414514,448.115,-76.0311,-64.9586,369.282,498.58,69.6687,62.8275,-489.212,338.654,3.34975,0
8524,134.823,0.0185378,445.443,-51.557,-48.2392,-439.665,560.795,59.1323,18.7538,-557.214,132.64,6.46806,0
12421,274.808,0.0431582,191.689,-78.7711,84.2223,151.167,113.477,79.5264,-75.3294,-24.8421,224.858,28.0901,0
733,310.793,0.0237056,250.627,106.929,46.5744,220.048,114.849,-103.932,-35.1951,-31.8853,226.361,20.1397,0
4278,355.917,0.00228417,,61.1216,-164.568,202.769,375.099,-68.251,158.494,332.145,356.215,1.62167,1
161,209.921,0.0431025,206.163,-92.5935,-38.2733,-157.897,68.3075,32.7621,55.2232,16.2543,193.239,24.276,0
4609,201.29,0.0147731,380.121,-117.598,15.3104,360.771,246.511,81.4884,-13.2514,231.759,201.149,7.25006,0
2663,504.393,0.0132549,285.489,-117.419,-151.945,-207.277,1206.4,112.755,134.01,-1193.16,367.162,17.7289,0
1932,206.878,0.0905997,159.839,-119.974,45.3129,-40.5412,75.1561,72.3272,12.8855,11.6509,222.737,28.0855,0
11883,358.334,0.0129426,394.573,-178.267,-18.1353,-351.203,339.272,177.142,13.3879,-282.004,361.488,9.44217,0
12827,253.304,0.0161071,265.842,21.1349,134.941,-227.27,95.9168,-20.989,-88.1381,-28.8949,227.189,9.95997,0
6168,189.365,0.00361222,100.254,-95.1627,1.32777,29.0969,98.2276,93.3513,6.13203,12.7958,188.724,1.3297,0
8651,238.941,0.0282654,166.817,124.33,-43.6034,-52.8843,105.088,-96.7612,30.366,5.73701,255.744,12.3447,0
